pair,energy,distance
H-H,432,0.74
H-B,389,1.19
H-C,411,1.09
H-Si,318,1.48
H-Ge,288,1.53
H-Sn,251,1.7
H-N,386,1.01
H-P,322,1.44
H-As,247,1.52
H-O,459,0.96
H-S,363,1.34
H-Se,276,1.46
H-Te,238,1.7
H-F,565,0.92
H-Cl,428,1.27
H-Br,362,1.41
H-I,295,1.61
B-Cl,456,1.75
C-C,346,1.54
C=C,602,1.34
C#C,835,1.2
C-Si,318,1.85
C-Ge,238,1.95
C-Sn,192,2.16
C-Pb,130,2.3
C-N,305,1.47
C=N,615,1.29
C#N,887,1.16
C-P,264,1.84
C-O,358,1.43
C=O,799,1.2
C#O,1072,1.13
C-S,272,1.82
C=S,573,1.6
C-F,485,1.35
C-Cl,327,1.77
C-Br,285,1.94
C-I,213,2.14
Si-Si,222,2.33
Si-O,452,1.63
Si-S,293,2.0
Si-F,565,1.6
Si-Cl,381,2.02
Si-Br,310,2.15
Si-I,234,2.43
Ge-Ge,188,2.41
Ge-F,470,1.68
Ge-Cl,349,2.1
Ge-Br,276,2.3
Sn-Cl,323,2.33
Sn-Br,273,2.5
Sn-I,205,2.7
Pb-Cl,243,2.42
Pb-I,142,2.79
N-N,167,1.45
N=N,418,1.25
N#N,942,1.1
N-O,201,1.4
N=O,607,1.21
N-F,283,1.36
N-Cl,313,1.75
P-P,201,2.21
P-O,335,1.63
P=O,544,1.5
P=S,335,1.86
P-F,490,1.54
P-Cl,326,2.03
As-As,146,2.43
As-O,301,1.78
As-F,484,1.71
As-Cl,322,2.16
As-Br,458,2.33
As-I,200,2.54
Sb-Cl,315,2.32
O-O,142,1.48
O=O,494,1.21
O-F,190,1.42
S=O,522,1.43
S-S,226,2.05
S=S,425,1.49
S-F,284,1.56
S-Cl,255,2.07
Se=Se,272,2.15
F-F,155,1.42
Cl-Cl,240,1.99
Br-Br,190,2.28
I-I,148,2.67
I-F,273,1.91
I-Cl,208,2.32
Kr-F,50,1.9
Xe-O,84,1.75
Xe-F,130,1.95
Li-Li,0,2.80
Li-O,0,1.688
Li-H,0,1.60
Li-C,0,1.80

